filesystem,size,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,17239985,1723676.517,1723676,0,6733.1mb/s,0.00,5.80,10.89,84.77
leanfs,32k,16962369,1696003.191,1696003,0,6625.0mb/s,0.00,5.25,11.14,83.63
leanfs,1m,9214166,921252.617,921253,0,3598.6mb/s,0.00,5.55,12.91,82.73
leanfs,16m,585417,58533.429,58533,0,228.6mb/s,0.02,18.09,12.71,86.47
leanfs,64m,7249,724.814,725,0,2.8mb/s,1.38,10.98,8.36,92.67
leanfs,128m,6478,647.717,648,0,2.5mb/s,1.54,10.87,7.88,93.40
leanfs,256m,4686,468.529,468,0,1.8mb/s,2.13,8.70,6.99,95.00
leanfs,512m,4845,484.432,484,0,1.9mb/s,2.06,8.90,6.55,95.20
leanfs,1g,3233,323.251,323,0,1.3mb/s,3.09,6.58,5.11,97.50
ext4,4k,17083985,1708113.928,1708114,0,6672.3mb/s,0.00,5.25,7.45,0.07
ext4,32k,16866888,1686420.659,1686421,0,6587.6mb/s,0.00,4.94,7.41,0.13
ext4,1m,10525429,1052382.622,1052383,0,4110.9mb/s,0.00,3.82,8.98,1.07
ext4,16m,7443276,744228.469,744228,0,2907.1mb/s,0.00,2.54,7.37,21.07
ext4,64m,16370,1636.755,1637,0,6.4mb/s,0.61,0.55,1.19,88.67
ext4,128m,10818,1081.603,1082,0,4.2mb/s,0.92,0.50,1.11,87.73
ext4,256m,9670,966.833,967,0,3.8mb/s,1.03,0.69,1.35,87.03
ext4,512m,9454,945.261,945,0,3.7mb/s,1.06,0.71,1.60,87.67
ext4,1g,9360,935.832,936,0,3.7mb/s,1.07,0.43,1.15,86.70
xfs,4k,16268613,1626604.622,1626605,0,6353.9mb/s,0.00,4.89,7.80,0.03
xfs,32k,15913384,1591062.192,1591062,0,6215.1mb/s,0.00,4.62,7.87,0.07
xfs,1m,8644166,864281.858,864282,0,3376.1mb/s,0.00,3.21,9.67,0.93
xfs,16m,7136838,713563.921,713564,0,2787.4mb/s,0.00,2.77,7.32,19.93
xfs,64m,18290,1828.718,1829,0,7.1mb/s,0.55,0.62,1.43,85.13
xfs,128m,10595,1059.348,1059,0,4.1mb/s,0.94,0.50,1.06,87.53
xfs,256m,9695,969.350,969,0,3.8mb/s,1.03,0.45,1.15,86.80
xfs,512m,9350,934.843,935,0,3.7mb/s,1.07,0.54,1.10,87.80
xfs,1g,9346,934.470,934,0,3.6mb/s,1.07,0.86,1.22,87.80
btrfs,4k,17222559,1721915.133,1721915,0,6726.2mb/s,0.00,5.20,7.25,0.00
btrfs,32k,17401427,1739846.926,1739847,0,6796.3mb/s,0.00,4.72,7.83,0.03
btrfs,1m,10428241,1042651.541,1042651,0,4072.9mb/s,0.00,3.31,9.14,0.83
btrfs,16m,7690183,768879.594,768879,0,3003.4mb/s,0.00,2.71,7.59,17.90
btrfs,64m,11124,1112.195,1112,0,4.3mb/s,0.90,0.48,1.48,81.47
btrfs,128m,8398,839.668,840,0,3.3mb/s,1.19,0.42,1.24,80.73
btrfs,256m,7873,787.186,787,0,3.1mb/s,1.27,0.41,1.15,81.27
btrfs,512m,7402,740.082,740,0,2.9mb/s,1.35,0.40,1.10,81.67
btrfs,1g,7920,791.880,792,0,3.1mb/s,1.26,0.51,1.23,80.92
