filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,3376,337.560,337,0,1.3mb/s,2.96,5.07,5.27,97.80
leanfs,32k,2952,295.162,295,0,9.2mb/s,3.39,5.22,4.94,98.22
leanfs,128k,2058,205.775,206,0,25.7mb/s,4.86,4.10,4.61,97.60
leanfs,1m,229,22.897,23,0,22.8mb/s,43.77,3.30,4.15,98.60
ext4,4k,9851,984.974,985,0,3.8mb/s,1.01,0.35,0.64,87.83
ext4,32k,9118,911.644,912,0,28.5mb/s,1.10,0.27,0.66,87.67
ext4,128k,8398,839.672,840,0,104.9mb/s,1.19,0.12,1.08,84.87
ext4,1m,17174,1717.140,1717,0,1717.0mb/s,0.58,0.16,4.93,53.53
xfs,4k,9939,993.762,994,0,3.9mb/s,1.00,0.22,0.61,88.20
xfs,32k,9061,905.960,906,0,28.3mb/s,1.10,0.37,0.68,88.50
xfs,128k,8389,838.741,839,0,104.8mb/s,1.19,0.13,0.88,85.47
xfs,1m,17385,1738.163,1738,0,1738.1mb/s,0.57,0.07,5.36,49.97
btrfs,4k,8943,894.181,894,0,3.5mb/s,1.12,0.21,0.79,83.30
btrfs,32k,7064,706.255,706,0,22.1mb/s,1.41,0.26,1.23,82.23
btrfs,128k,6366,636.510,636,0,79.6mb/s,1.57,0.15,1.64,81.33
btrfs,1m,19290,1928.727,1929,0,1928.6mb/s,0.52,0.09,6.00,48.70
