filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency
leanfs,4k,3279,327.856,328,0,1.3mb/s,3.04
leanfs,32k,1836,183.575,183,0,5.7mb/s,5.45
leanfs,128k,2288,228.771,229,0,28.6mb/s,4.37
leanfs,1m,319,31.896,32,0,31.8mb/s,31.39
ext4,4k,10697,1069.550,1069,0,4.2mb/s,0.93
ext4,32k,9946,994.449,994,0,31.1mb/s,1.00
ext4,128k,9193,919.171,919,0,114.9mb/s,1.09
ext4,1m,18945,1894.193,1894,0,1894.1mb/s,0.53
xfs,4k,10870,1086.837,1087,0,4.2mb/s,0.92
xfs,32k,9714,971.265,971,0,30.3mb/s,1.03
xfs,128k,9171,916.960,917,0,114.6mb/s,1.09
xfs,1m,18545,1854.240,1854,0,1854.1mb/s,0.54
btrfs,4k,8077,807.576,807,0,3.2mb/s,1.24
btrfs,32k,6992,699.088,699,0,21.8mb/s,1.43
btrfs,128k,5816,581.523,581,0,72.7mb/s,1.72
btrfs,1m,20930,2092.664,2093,0,2092.6mb/s,0.48
