filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,859,85.889,0,86,0.3mb/s,11.64,11.53,3.74,98.53
leanfs,32k,817,81.689,0,82,2.5mb/s,12.23,11.44,3.24,97.83
leanfs,128k,741,74.090,0,74,9.2mb/s,13.49,11.36,3.34,98.53
leanfs,1m,670,66.991,0,67,66.9mb/s,14.94,11.44,3.47,98.40
ext4,4k,9467563,946625.476,0,946625,3697.8mb/s,0.00,3.16,9.48,0.13
ext4,32k,2189603,218926.388,0,218926,6841.4mb/s,0.00,0.81,11.20,0.07
ext4,128k,457862,45779.370,0,45779,5722.4mb/s,0.02,1.32,11.91,0.10
ext4,1m,43615,4360.821,0,4361,4360.7mb/s,0.23,0.77,12.28,0.07
xfs,4k,8975409,897392.651,0,897393,3505.4mb/s,0.00,2.81,9.15,0.03
xfs,32k,2382770,238243.003,0,238243,7445.1mb/s,0.00,0.71,10.91,0.03
xfs,128k,490573,49050.472,0,49050,6131.3mb/s,0.02,0.20,11.34,0.00
xfs,1m,54925,5491.626,0,5492,5491.5mb/s,0.18,0.10,11.59,0.00
btrfs,4k,4489581,448871.737,0,448872,1753.4mb/s,0.00,1.35,10.26,0.00
btrfs,32k,1976649,197633.081,0,197633,6176.0mb/s,0.00,0.71,10.97,0.00
btrfs,128k,468811,46875.062,0,46875,5859.4mb/s,0.02,0.22,11.48,0.00
btrfs,1m,55957,5594.839,0,5595,5594.7mb/s,0.18,0.10,11.70,0.00
