filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,762,76.190,0,76,0.3mb/s,13.12,11.59,4.35,98.56
leanfs,32k,721,72.090,0,72,2.2mb/s,13.86,11.00,3.77,98.53
leanfs,128k,744,74.382,0,74,9.3mb/s,13.44,11.15,3.42,98.20
leanfs,1m,363,36.295,0,36,36.2mb/s,27.56,11.01,3.45,98.07
ext4,4k,4587,458.633,0,459,1.8mb/s,2.18,0.09,0.32,90.02
ext4,32k,3416,341.542,0,341,10.7mb/s,2.93,0.07,0.19,90.90
ext4,128k,3350,334.944,0,335,41.9mb/s,2.98,0.05,0.25,90.30
ext4,1m,778,77.786,0,78,77.7mb/s,12.85,0.08,0.20,91.20
xfs,4k,4548,454.723,0,455,1.8mb/s,2.20,0.08,0.26,90.37
xfs,32k,3665,366.452,0,366,11.4mb/s,2.73,0.04,0.18,90.77
xfs,128k,3230,322.934,0,323,40.4mb/s,3.09,0.06,0.34,90.07
xfs,1m,899,89.885,0,90,89.8mb/s,11.13,0.20,0.44,90.80
btrfs,4k,4109,410.843,0,411,1.6mb/s,2.43,0.10,0.81,86.10
btrfs,32k,3483,348.259,0,348,10.9mb/s,2.87,0.05,0.75,86.43
btrfs,128k,2183,218.264,0,218,27.3mb/s,4.58,0.10,0.93,85.27
btrfs,1m,662,66.190,0,66,66.1mb/s,15.10,0.07,1.54,80.93
