filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,73285,7327.492,7327,0,28.6mb/s,0.14,4.33,5.89,98.89
leanfs,32k,8899,889.766,890,0,27.8mb/s,1.12,4.40,6.23,98.31
leanfs,128k,2394,239.370,239,0,29.9mb/s,4.18,4.71,6.19,98.06
leanfs,1m,294,29.395,29,0,29.3mb/s,34.09,4.28,5.86,98.09
ext4,4k,9292220,929058.393,929058,0,3629.1mb/s,0.00,2.51,9.87,15.20
ext4,32k,1880490,188016.906,188017,0,5875.3mb/s,0.01,0.66,11.12,0.27
ext4,128k,492123,49204.344,49204,0,6149.8mb/s,0.02,0.30,11.44,0.23
ext4,1m,64551,6454.082,6454,0,6447.8mb/s,0.15,0.20,11.56,0.13
xfs,4k,8915686,891389.163,891389,0,3482.0mb/s,0.00,2.52,9.76,16.13
xfs,32k,1830716,183037.098,183037,0,5719.7mb/s,0.01,0.64,11.09,0.07
xfs,128k,445542,44546.841,44547,0,5567.7mb/s,0.02,0.45,11.57,0.07
xfs,1m,65880,6586.868,6587,0,6580.4mb/s,0.15,0.54,11.88,0.03
btrfs,4k,8219337,821772.633,821773,0,3210.0mb/s,0.00,2.46,10.39,39.77
btrfs,32k,1780881,178057.741,178058,0,5564.1mb/s,0.01,0.89,11.83,31.77
btrfs,128k,484421,48433.639,48434,0,6053.5mb/s,0.02,0.28,12.29,30.13
btrfs,1m,59346,5933.660,5934,0,5927.9mb/s,0.17,0.44,12.42,31.53
