filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,3777,377.647,378,0,1.5mb/s,2.64,6.81,6.75,97.54
leanfs,32k,3448,344.754,345,0,10.8mb/s,2.90,5.45,6.24,97.85
leanfs,128k,2291,229.072,229,0,28.6mb/s,4.36,5.04,5.86,98.02
leanfs,1m,615,61.490,61,0,61.4mb/s,16.28,4.27,5.40,98.49
ext4,4k,9838,983.671,984,0,3.8mb/s,1.01,0.69,2.03,83.07
ext4,32k,2667,266.664,267,0,8.3mb/s,3.74,0.43,1.70,81.97
ext4,128k,2009,200.866,201,0,25.1mb/s,4.98,0.64,1.90,82.30
ext4,1m,563,56.291,56,0,56.2mb/s,17.74,0.44,1.53,82.93
xfs,4k,9457,945.552,945,0,3.7mb/s,1.06,0.41,1.50,85.87
xfs,32k,2920,291.952,292,0,9.1mb/s,3.42,0.40,1.33,85.53
xfs,128k,1996,199.568,199,0,24.9mb/s,5.01,0.33,1.23,86.40
xfs,1m,615,61.489,61,0,61.4mb/s,16.26,0.36,1.23,85.80
btrfs,4k,68016,6800.489,6800,0,26.6mb/s,0.15,0.39,2.15,83.60
btrfs,32k,29666,2966.078,2966,0,92.7mb/s,0.31,0.37,2.19,83.47
btrfs,128k,30280,3027.398,3027,0,378.4mb/s,0.33,0.52,3.10,78.07
btrfs,1m,77481,7746.773,7747,0,7739.2mb/s,0.13,0.43,12.75,31.40
