filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency
leanfs,4k,78077,7806.676,7807,0,30.5mb/s,0.13
leanfs,32k,9543,954.181,954,0,29.8mb/s,1.05
leanfs,128k,2862,286.163,286,0,35.8mb/s,3.49
leanfs,1m,322,32.196,32,0,32.1mb/s,31.12
ext4,4k,11118549,1111683.256,1111683,0,4342.5mb/s,0.00
ext4,32k,2316169,231583.135,231583,0,7236.8mb/s,0.00
ext4,128k,587230,58713.618,58714,0,7338.3mb/s,0.02
ext4,1m,56405,5639.643,5640,0,5634.0mb/s,0.18
xfs,4k,10159957,1015839.058,1015839,0,3968.1mb/s,0.00
xfs,32k,2256998,225668.319,225668,0,7051.9mb/s,0.00
xfs,128k,606976,60688.369,60688,0,7585.1mb/s,0.02
xfs,1m,61152,6114.143,6114,0,6108.1mb/s,0.16
btrfs,4k,11000132,1099838.436,1099838,0,4296.2mb/s,0.00
btrfs,32k,2207580,220725.553,220725,0,6897.5mb/s,0.00
btrfs,128k,603668,60357.457,60357,0,7543.8mb/s,0.02
btrfs,1m,61629,6161.965,6162,0,6155.9mb/s,0.16
