filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,29469,2946.549,0,2946,11.5mb/s,0.34,24.03,16.92,94.20
leanfs,32k,29016,2901.308,0,2901,90.7mb/s,0.34,27.92,17.76,97.37
leanfs,128k,18886,1888.307,0,1888,236.0mb/s,0.50,20.70,10.91,98.49
leanfs,1m,2219,221.870,0,222,221.8mb/s,1.47,12.17,5.14,98.37
ext4,4k,4693,469.224,0,469,1.8mb/s,2.13,0.47,0.89,89.47
ext4,32k,3798,379.748,0,380,11.9mb/s,2.63,0.65,0.72,89.63
ext4,128k,3047,304.654,0,305,38.1mb/s,3.28,0.36,0.78,89.77
ext4,1m,784,78.388,0,78,78.3mb/s,12.75,0.38,0.53,90.77
xfs,4k,4603,460.238,0,460,1.8mb/s,2.17,0.51,0.78,89.22
xfs,32k,3876,387.524,0,387,12.1mb/s,2.58,0.44,0.93,89.07
xfs,128k,2954,295.354,0,295,36.9mb/s,3.38,1.23,2.44,89.90
xfs,1m,853,85.286,0,85,85.2mb/s,11.72,1.33,2.49,90.83
btrfs,4k,4132,413.146,0,413,1.6mb/s,2.42,0.83,1.12,86.07
btrfs,32k,3649,364.847,0,365,11.4mb/s,2.74,0.40,1.43,85.13
btrfs,128k,2575,257.463,0,257,32.2mb/s,3.88,0.59,1.52,84.13
btrfs,1m,685,68.490,0,68,68.4mb/s,14.61,0.33,2.14,80.23
