filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,134122,13410.899,0,13411,52.4mb/s,0.07,27.60,24.18,83.87
leanfs,32k,73459,7345.110,0,7345,229.5mb/s,0.14,23.24,21.18,98.37
leanfs,128k,31613,3160.928,0,3161,395.1mb/s,0.32,19.49,20.73,98.78
leanfs,1m,5323,532.236,0,532,532.1mb/s,1.88,9.37,17.38,97.53
ext4,4k,1020882,102074.471,0,102074,398.7mb/s,0.01,0.54,7.01,86.13
ext4,32k,123071,12305.172,0,12305,384.5mb/s,0.08,0.29,6.41,83.73
ext4,128k,31592,3158.708,0,3159,394.8mb/s,0.32,0.62,8.87,87.65
ext4,1m,3957,395.640,0,396,395.5mb/s,2.53,0.65,8.52,87.93
xfs,4k,991789,99161.041,0,99161,387.3mb/s,0.01,1.13,7.68,88.38
xfs,32k,125824,12580.478,0,12580,393.1mb/s,0.08,0.63,5.88,89.58
xfs,128k,31265,3126.039,0,3126,390.7mb/s,0.32,0.68,6.69,88.85
xfs,1m,3924,392.343,0,392,392.2mb/s,2.55,0.73,6.38,89.40
btrfs,4k,906600,90649.294,0,90649,354.1mb/s,0.01,0.87,9.50,89.73
btrfs,32k,117991,11797.639,0,11798,368.7mb/s,0.08,0.59,7.34,91.27
btrfs,128k,29942,2993.551,0,2993,374.2mb/s,0.33,0.51,7.26,91.23
btrfs,1m,3655,365.453,0,365,365.4mb/s,2.73,0.62,6.90,91.13
